Name,BaseClass,Level 1,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14,Level 15,Primary Stat,Secondary Stat,Skill Talents
Invoker,Ranger,Courageous Sign,Guardian Sign,Valiant Sign,Sturdy Sign,Soaring Sign,,Healing Sign,Swift Sign,Dark Sign,,Weather Sign,Decisive Sign,Smiting Sign,Divine Sign,,,Defense,Speed,"Choose 1: History, Perform"
Officer,Ranger,Conspiracy Catcher,Detective Training,Intuition’s Arsenal,Partner’s Aid,Disguise,,Stop Right There,Lie Detector,Intuition Training,,Restraining Order,Master of Disguise,What’s That Over There,Ultimate Interrogator,,,Defense,Speed,"Choose 1: Insight, Investigate"
Rider,Ranger,Battle Capable Riding,Stick to It,All-Terrain Pokémon,Mount Mobility,Full Speed,,Mounted Quick Switch,Qualified Ride,Ride Pager,,Watch and Learn,Charge,Form Up,Overrun,,,Defense,Speed,"Choose 1: Acrobatics, Pokémon Handling"
Special Operative,Ranger,Operation Gear - Rank 1,,Endure,Operation Gear - Rank 2,Take Down,,Element of Surprise,Operation Gear - Rank 3,Retaliate,,Creative Application,Operation Gear - Rank 4,Double-Edge,Quartermaster,,,Defense,Speed,"Choose 1: Constitution, Engineering/Operation"
Survivalist,Ranger,Food ScAvianger,Internalized Senses,Freeclimbing,Watch the Sky,Pacifier,,Archer,Tent Thatcher,At Ease in the Wild,,Natural Guide,Natural Medicine,Pokémon Whisperer,One with Nature,,,Defense,Speed,"Choose 1: Constitution, Nature"
Researcher,,Field Commander,Walking Encyclopedia,Game Plan,Stat Increase and Advanced Class,Repel Crafting,Critical Advice,Demoralize,Stat Increase and Advanced Class,Fighting Read,Investigative Ingenuity,Tactical Strike,Stat Increase and Advanced Class,Walking Doctorate,Poké Linguist,Strategic Sabotage,Grand Strategist,Special Attack,Special Defense,"Choose 2: Engineering/Operation, History, Investigate, Medicine, Perception, Programming"
Archeologist,Researcher,Adventuring Historian,Quick Dig,Stone Finder,Superb Spelunker,Fossil Finder,,Fossil Resurrection,Sand Trap,Stone Energizer,,Cave In,Stone Master,Stone Polishing,Lovable Atrocities,,,Special Attack,Special Defense,"Choose 1: Engineering/Operation, History"
Capture Specialist,Researcher,Capture Point,Apricorn Ball,Poké Ball Repair,Poké Ball Improvements,Type Mod,,Time Mod,Multiball,Environment Mod,,False Swipe,Advanced Design,Save Ball,Master Mod,,,Special Attack,Special Defense,"Choose 1: Engineering/Operation, Programming"
Photographer,Researcher,Camera Flash,Pester Ball A,Rapid Shot,Pester Ball B,Quick Study,,Close Examination,Pester Ball C,Capture Shot,,Photo Tutor,Pester Ball D,Photographic Analysis,Pester Master Ball,,,Special Attack,Special Defense,"Choose 1: Engineering/Operation, Investigate"
Scientist,Researcher,Potion Maker,Repel Master,Remedy Brewing,Ether Maker,Performance Enhancers,,Remedy Solver,Elixir Mixer,Revival Mixer,,Mint Maker,Vitamin Maker,No Expiration Date,Master Chemist,,,Special Attack,Special Defense,"Choose 1: Medicine, Nature"
Watcher,Researcher,Close Watch,Quick Draw,Discriminating Gaze,Silent Study,Calming Vibe,,Species Spotter,Applied Psychology,Watchful Tactician,,Micro Expressionist,Soothing Schemer,Sketch Tutoring,Shiny Finder,,,Special Attack,Special Defense,"Choose 1: Sleight of Hand, Stealth"
Martial Artist,,Martial Form,Peak Physique,Foresight,Stat Increase and Advanced Class,No Retreat,Enduring Focus,Weapons Master,Stat Increase and Advanced Class,Martial Prowess,Flow Like Water,Pin,Stat Increase and Advanced Class,Reckless Assault,Shake it Off,Haymaker,Martial Master,Attack,Defense,"Choose 2: Acrobatics, Athletics, Concentration, Constitution, Medicine, Perform"
Aura Master,Martial Artist,Aura Force,Vacuum Wave,Defensive Aura,Aura Reader,Aura Guard,,Aura Gift,Aura Sphere,Elemental Fists,,Aura Sight,Drain Punch,Elemental Force,Aura Guardian,,,Attack,Defense,"Choose 1: Concentration, Insight"
Dirty Fighter,Martial Artist,Devious Display,Diss,Pocket Sand,Krookodile Tears,Wire Wrapping,,Face!,Psyche!,Tax,,Grit Your Teeth,Dark Master,You'll Pay for That!,Mob Mentality,,,Attack,Defense,"Choose 1: Bluff/Deception, Sleight of Hand"
Mentor,Martial Artist,First Lessons,Many Forms,Second Form,Form in Sync,Martial Tutor,,Battle Cry,Form of Falling,Self-Defense,,Let Loose,Mentor's Poise,Master Tutor,Old Master,,,Attack,Defense,"Choose 1: Diplomacy/Persuasion, History"
Ninja,Martial Artist,Ninjutsu,Distraction Techniques,Alacrity,Poisoned Needle,Caltrops,,Vanish,Powder Bomb,Antidotes Master,,Poison Jab,Sleep Dust,Dark Poisoner,Shadow Clone Technique,,,Attack,Defense,"Choose 1: Acrobatics, Stealth"
Yogi,Martial Artist,Limber,Yogic Knowledge,Acupressure,Relaxation Therapy,Smelling Salts,,Healing Session,Pressure Points,Nerve Strike,,Paralyzing Barrage,Life Energy Palm,Mental Fortitude,Soothing Strikes,,,Attack,Defense,"Choose 1: Acrobatics, Medicine"
Psychic,,Psychic Ability,Telekinesis,Telepathy,Stat Increase and Advanced Class,Healing Power,Psychic Shielding,Extrasensory,Stat Increase and Advanced Class,Psychic Connection,Dig Deep,Metaphysical Psychometry,Stat Increase and Advanced Class,Greater Healing Power,Telekinetic Mastery,Psychic Overwhelming,Psionic Maelstrom,Special Attack,Speed,"Choose 2: Acrobatics, Concentration, Insight, Investigate, Perception, Pokémon Handling"
Air Adept,Psychic,Aerokinesis,Flight,Aerodynamic,Defog,Air Slash,,Electrokinesis,Static Cling,Mass Levitation,,Thunderbolt,Aerial Whip,Thunder Strike,Hurricane,,,Special Attack,Speed,"Choose 1: Acrobatics, Nature"
Earth Shaker,Psychic,Terra Form,Terrakinesis,Earth Vision,Sandstorm,Power Gem,Earth Walk,,Sand Tomb,Rock Slide,Earth Power,,Materializer,Earthquake,Stone Fall,,,Special Attack,Speed,"Choose 1: Concentration, Constitution"
Firebreather,Psychic,Pyrokinesis,Scorching Assault,Warmth,Sunny Day,Fire Spin,,Photokinesis,Heat Seeker,Smoke Screen,,Flamethrower,Mirage,Solar Beam,Fire Blast,,,Special Attack,Speed,"Choose 1: Concentration, Perform"
Hex Maniac,Psychic,Psychometry,Terrify,Probability Control,Curse,Make it Weird,,Discombobulate,Burning Malediction,Hypnotize,,Fumble,Binding Spell,Shared Trauma,Ruin,,,Special Attack,Speed,"Choose 1: Bluff/Deception, Sleight of Hand"
Rain Waker,Psychic,Hydrodynamics,Hydrokinesis,Surface Tension,Rain Dance,Bubble Beam,,Cryokinesis,Hail Storm,Hydro Therapy,,Ice Beam,Scald,Blizzard,Hydro Surge,,,Special Attack,Speed,"Choose 1: Concentration, Perform"
Pokémon,,Born to be a Winner,Brand New World,A Heart so True,"Rise to the Challenge, Studying A to Z",So Much to Learn,Brand New Attitude,Born to be a Champion,"Always More to Come, Triumph Together",My Destiny,The Path that I Chose,Friends that Work Together,"Lessons that I Hold, Put Myself to the Test",Like No One Ever Was,The Very Best Ever,Way to Victory,Nothing Can Stop You,Nature,Nature,Your Pokemon Skills!
